impression_id,campaign_id,listener_id,track_id,treatment_group,genre_match,streamed,skipped,saved,followed_artist,repeat_stream,playlist_add,returned_7d,returned_14d,returned_30d,country,age,age_group,subscription_type,preferred_genre,historical_stream_count,listener_activity,track_name,track_genre,popularity_score,artist_name,monthly_listeners,follower_count,campaign_budget,start_date,end_date
1000,1,852,204,treatment,1,1,0,0,0,0,1,0,1,0,Japan,30,25-34,premium,Country,85,Light,Track 204,Country,64,Artist 21,1770983,508564,2507,2026-06-24,2026-07-08
999,1,4762,204,control,0,0,0,0,0,0,0,0,0,0,Mexico,29,25-34,free,R&B,289,Medium,Track 204,Country,64,Artist 21,1770983,508564,2507,2026-06-24,2026-07-08
998,1,3774,204,control,0,0,0,0,0,0,0,0,0,0,Germany,28,25-34,free,Indie,69,Light,Track 204,Country,64,Artist 21,1770983,508564,2507,2026-06-24,2026-07-08
997,1,7313,204,treatment,0,0,0,0,0,0,0,0,0,0,Mexico,29,25-34,free,R&B,185,Medium,Track 204,Country,64,Artist 21,1770983,508564,2507,2026-06-24,2026-07-08
996,1,2935,204,control,0,1,0,0,0,0,0,1,0,1,Canada,33,25-34,premium,R&B,356,Heavy,Track 204,Country,64,Artist 21,1770983,508564,2507,2026-06-24,2026-07-08
995,1,1798,204,control,0,1,0,0,1,0,1,0,0,0,UK,21,18-24,premium,Hip-Hop,66,Light,Track 204,Country,64,Artist 21,1770983,508564,2507,2026-06-24,2026-07-08
994,1,5246,204,control,0,0,0,0,0,0,0,0,0,0,Mexico,35,35-44,free,Pop,146,Medium,Track 204,Country,64,Artist 21,1770983,508564,2507,2026-06-24,2026-07-08
993,1,3736,204,control,0,0,0,0,0,0,0,0,0,0,UK,35,35-44,premium,Electronic,131,Medium,Track 204,Country,64,Artist 21,1770983,508564,2507,2026-06-24,2026-07-08
992,1,2990,204,control,0,0,0,0,0,0,0,0,0,0,US,44,35-44,free,Rock,1655,Heavy,Track 204,Country,64,Artist 21,1770983,508564,2507,2026-06-24,2026-07-08
991,1,9860,204,treatment,0,0,0,0,0,0,0,0,0,0,UK,23,18-24,premium,Electronic,1157,Heavy,Track 204,Country,64,Artist 21,1770983,508564,2507,2026-06-24,2026-07-08
